22:12:14:495 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - ------------------------ List (Primitives) ------------------------
22:12:14:497 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - List: [Mango, Apple, Lychee, Banana, Grapes]
22:12:14:497 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - List size: 5
22:12:14:497 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Index of 'Banana': 3
22:12:14:498 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Remove 'Lychee' element: true
22:12:14:498 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Does List contain 'Lychee': false
22:12:14:498 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Get list element at index 1: Lychee

22:12:14:508 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Sorted list: [Banana, Grapes, Lychee, Mango]
22:12:14:508 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Array of List elements: [Banana, Grapes, Lychee, Mango]
22:12:14:509 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Array to List: [Banana, Grapes, Lychee, Mango]

22:12:14:509 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Traversing in forward direction
22:12:14:511 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 0, value: Banana
22:12:14:511 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 1, value: Grapes
22:12:14:511 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 2, value: Lychee
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 3, value: Mango
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - 
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Traversing in backward direction
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 3, value: Mango
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 2, value: Lychee
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 1, value: Grapes
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - index: 0, value: Banana
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - 
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Is List empty: true
22:12:14:512 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - 


22:12:14:513 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - ------------------------ List (Custom object) ------------------------
22:12:14:513 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Sorted List of Employees using Comparable: 
22:12:14:517 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Id: A1, Name: Saachi, Salary: 40000
22:12:14:517 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Id: A2, Name: Vidhi, Salary: 50000
22:12:14:517 [main] INFO  com.assignment.core.collectionsFramework.CollectionsDemo - Id: B1, Name: Teesha, Salary: 60000
